2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
LeBron James,Kevin Durant,Kevin Durant,Kevin Durant,Kyrie Irving,James Harden,Stephen Curry,Anthony Davis,LeBron James,LeBron James,Kawhi Leonard,,Stephen Curry
Dwyane Wade,Kobe Bryant,Kobe Bryant,Kobe Bryant,LeBron James,Stephen Curry,Kobe Bryant,James Harden,Kevin Durant,James Harden,Anthony Davis,Stephen Curry,LeBron James
Dwight Howard,Chris Paul,Blake Griffin,Blake Griffin,Paul George,Marc Gasol,Kawhi Leonard,Stephen Curry,Russell Westbrook,Kevin Durant,LeBron James,Giannis Antetokounmpo,Giannis Antetokounmpo
Joe Johnson,Carmelo Anthony,Chris Paul,Chris Paul,Carmelo Anthony,Klay Thompson,Kevin Durant,Kevin Durant,Kyrie Irving,Kyrie Irving,James Harden,Nikola Joki?,DeMar DeRozan
Kevin Garnett,Tim Duncan,Andrew Bynum,Dwight Howard,Dwyane Wade,LaMarcus Aldridge,Russell Westbrook,Kawhi Leonard,Anthony Davis,Kawhi Leonard,Luka Don?i?,LeBron James,Nikola Joki?
Chris Bosh,Pau Gasol,Russell Westbrook,James Harden,Joakim Noah,Chris Paul,James Harden,Marc Gasol,Paul George,Damian Lillard,Ben Simmons,Chris Paul,Luka Don?i?
Rajon Rondo,Manu Ginóbili,Kevin Love,Tony Parker,John Wall,Russell Westbrook,Klay Thompson,Russell Westbrook,Andre Drummond,Klay Thompson,Russell Westbrook,Jaylen Brown,Darius Garland
Gerald Wallace,Deron Williams,Dirk Nowitzki,Russell Westbrook,DeMar DeRozan,DeMarcus Cousins,Chris Paul,Klay Thompson,Bradley Beal,Bradley Beal,Chris Paul,Paul George,Jarrett Allen
Derrick Rose,Blake Griffin,Marc Gasol,David Lee,Paul Millsap,Damian Lillard,Anthony Davis,Gordon Hayward,Victor Oladipo,Ben Simmons,Devin Booker,Damian Lillard,Fred VanVleet
Al Horford,Dirk Nowitzki,Tony Parker,Zach Randolph,Roy Hibbert,Tim Duncan,LaMarcus Aldridge,Draymond Green,Kemba Walker,Karl-Anthony Towns,Domantas Sabonis,Domantas Sabonis,Jimmy Butler
David Lee,Russell Westbrook,LaMarcus Aldridge,LaMarcus Aldridge,Chris Bosh,Dirk Nowitzki,Draymond Green,DeAndre Jordan,Goran Dragi?,LaMarcus Aldridge,Jayson Tatum,Rudy Gobert,Chris Paul
Paul Pierce,Kevin Love,Steve Nash,Tim Duncan,Joe Johnson,Kevin Durant,DeMarcus Cousins,DeMarcus Cousins,LaMarcus Aldridge,Dwyane Wade,Nikola Joki?,Kyrie Irving,Joel Embiid
Carmelo Anthony,LeBron James,Dwyane Wade,Carmelo Anthony,Kevin Durant,LeBron James,Kyle Lowry,DeMar DeRozan,James Harden,Anthony Davis,Giannis Antetokounmpo,Bradley Beal,Jayson Tatum
Dirk Nowitzki,Derrick Rose,LeBron James,LeBron James,Kevin Love,Carmelo Anthony,Paul George,Giannis Antetokounmpo,DeMar DeRozan,Stephen Curry,Kemba Walker,Kawhi Leonard,Trae Young
Steve Nash,Amar'e Stoudemire,Dwight Howard,Dwyane Wade,Blake Griffin,John Wall,Carmelo Anthony,Kyrie Irving,Stephen Curry,Giannis Antetokounmpo,Joel Embiid,Jayson Tatum,Ja Morant
Amar'e Stoudemire,Dwight Howard,Carmelo Anthony,Chris Bosh,Stephen Curry,Pau Gasol,Dwyane Wade,LeBron James,Giannis Antetokounmpo,Paul George,Pascal Siakam,Zion Williamson,Andrew Wiggins
Tim Duncan,Dwyane Wade,Derrick Rose,Kevin Garnett,James Harden,Kyle Lowry,LeBron James,Jimmy Butler,Joel Embiid,Joel Embiid,Trae Young,James Harden,Devin Booker
Deron Williams,Chris Bosh,Chris Bosh,Kyrie Irving,Chris Paul,Kyrie Irving,John Wall,Paul George,Kyle Lowry,Kemba Walker,Kyle Lowry,Donovan Mitchell,Dejounte Murray
Chauncey Billups,Rajon Rondo,Deron Williams,Paul George,Dwight Howard,Kyle Korver,Paul Millsap,John Wall,Klay Thompson,Khris Middleton,Khris Middleton,Zach LaVine,LaMelo Ball
Pau Gasol,Joe Johnson,Rajon Rondo,Luol Deng,LaMarcus Aldridge,Paul Millsap,Isaiah Thomas,Kemba Walker,Damian Lillard,Blake Griffin,Rudy Gobert,Nikola Vu?evi?,Khris Middleton
Kevin Durant,Ray Allen,Andre Iguodala,Tyson Chandler,Tony Parker,Al Horford,DeMar DeRozan,Carmelo Anthony,Draymond Green,Russell Westbrook,Donovan Mitchell,Julius Randle,Karl-Anthony Towns
Zach Randolph,Paul Pierce,Paul Pierce,Joakim Noah,Anthony Davis,Jeff Teague,Andre Drummond,Isaiah Thomas,Karl-Anthony Towns,Nikola Joki?,Jimmy Butler,Mike Conley,Rudy Gobert
Chris Kaman,Al Horford,Roy Hibbert,Jrue Holiday,Damian Lillard,Chris Bosh,Pau Gasol,Kyle Lowry,Al Horford,Kyle Lowry,Bam Adebayo,Devin Booker,Zach LaVine
Jason Kidd,Kevin Garnett,Luol Deng,Brook Lopez,Dirk Nowitzki,Jimmy Butler,Al Horford,Paul Millsap,DeMarcus Cousins,D'Angelo Russell,Brandon Ingram,Anthony Davis ,Kevin Durant 
Allen Iverson,Kevin Love,Joe Johnson,Rajon Rondo,Kobe Bryant,Dwyane Wade,Chris Bosh,Kevin Love,Kevin Love ,Nikola Vucevic,Damian Lillard,Kevin Durant ,Draymond Green
David Lee,Yao Ming,Rajon Rondo,,,Kobe Bryant,Jimmy Butler,,Kristaps Porzi??is,Dirk Nowitzki,,Joel Embiid ,James Harden 
Chauncey Billups,,,,,Anthony Davis,,,John Wall ,Victor Oladipo,,Ben Simmons,Donovan Mitchell
Kobe Bryant,,,,,Blake Griffin,,,Jimmy Butler ,,,,
Chris Kaman,,,,,,,,,,,,
Jason Kidd,,,,,,,,,,,,
Chris Paul,,,,,,,,,,,,
Brandon Roy,,,,,,,,,,,,
